test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,test_positive,geography
2022-10-04T00:00:00.000,Chenango,11,11059,155,231937,8.66%,COUNTY
2022-10-04T00:00:00.000,Clinton,27,20807,144,398343,21.01%,COUNTY
2022-10-04T00:00:00.000,Columbia,9,12699,107,249595,6.00%,COUNTY
2022-10-04T00:00:00.000,Cortland,20,12544,201,301274,10.00%,COUNTY
2022-10-04T00:00:00.000,Delaware,10,9429,137,195686,8.26%,COUNTY
2022-10-04T00:00:00.000,Dutchess,79,77492,870,1454320,9.74%,COUNTY
2022-10-04T00:00:00.000,Erie,198,252808,1841,4157408,11.10%,COUNTY
2022-10-04T00:00:00.000,Essex,8,7080,146,161736,11.11%,COUNTY
2022-10-04T00:00:00.000,Finger Lakes,263,283908,3087,5497713,8.58%,REGION
2022-10-04T00:00:00.000,Franklin,9,11325,108,212909,10.96%,COUNTY
2022-10-04T00:00:00.000,Fulton,33,15442,273,224368,7.34%,COUNTY
2022-10-04T00:00:00.000,Genesee,20,15596,178,267967,11.24%,COUNTY
2022-10-04T00:00:00.000,Greene,7,10163,76,178516,9.59%,COUNTY
2022-10-04T00:00:00.000,Hamilton,0,1014,7,19862,0.00%,COUNTY
2022-10-04T00:00:00.000,Herkimer,22,16421,329,318017,8.70%,COUNTY
2022-10-04T00:00:00.000,Jefferson,24,24714,292,395138,5.56%,COUNTY
2022-10-04T00:00:00.000,Kings,449,834763,8478,18223517,5.07%,COUNTY
2022-10-04T00:00:00.000,Lewis,6,6929,58,102111,4.44%,COUNTY
2022-10-04T00:00:00.000,Livingston,10,13499,149,280061,7.14%,COUNTY
2022-10-04T00:00:00.000,Long Island,716,1015735,8690,16473809,6.81%,REGION
2022-10-04T00:00:00.000,Madison,21,15747,167,365380,11.81%,COUNTY
2022-10-04T00:00:00.000,Mid-Hudson,551,711020,6979,13086165,7.56%,REGION
2022-10-04T00:00:00.000,Mohawk Valley,178,129086,2039,2683653,10.19%,REGION
2022-10-04T00:00:00.000,Monroe,141,179664,1819,3573489,8.01%,COUNTY
2022-10-04T00:00:00.000,Montgomery,17,14088,93,219001,19.40%,COUNTY
2022-10-04T00:00:00.000,Nassau,308,499243,3971,8190450,7.02%,COUNTY
2022-10-04T00:00:00.000,New York,356,534675,6221,14129927,5.80%,COUNTY
2022-10-04T00:00:00.000,New York City,1648,2817162,27273,58959346,5.87%,REGION
2022-10-04T00:00:00.000,Niagara,38,56193,360,889692,12.65%,COUNTY
2022-10-04T00:00:00.000,North Country,99,96733,991,1901482,10.29%,REGION
2022-10-04T00:00:00.000,Oneida,83,64654,1016,1497627,10.75%,COUNTY
2022-10-04T00:00:00.000,Onondaga,156,134446,1339,2746878,12.13%,COUNTY
2022-10-04T00:00:00.000,Ontario,29,24180,348,468821,8.36%,COUNTY
2022-10-04T00:00:00.000,Orange,123,127270,1416,1901072,8.50%,COUNTY
2022-10-04T00:00:00.000,Orleans,11,9925,76,155000,15.71%,COUNTY
2022-10-04T00:00:00.000,Oswego,58,32187,354,519063,16.88%,COUNTY
2022-10-04T00:00:00.000,Otsego,12,12386,241,305967,8.33%,COUNTY
2022-10-04T00:00:00.000,Putnam,27,28832,298,478215,9.56%,COUNTY
2022-10-04T00:00:00.000,Queens,478,786564,6821,14368588,6.56%,COUNTY
2022-10-04T00:00:00.000,Rensselaer,28,38968,341,860008,8.63%,COUNTY
2022-10-04T00:00:00.000,Richmond,135,195288,1721,3607957,7.42%,COUNTY
2022-10-04T00:00:00.000,Rockland,63,109253,807,2306136,5.68%,COUNTY
2022-10-04T00:00:00.000,STATEWIDE,4451,6063035,58923,120083248,7.30%,STATEWIDE
2022-10-04T00:00:00.000,Saratoga,45,57377,432,1054439,10.23%,COUNTY
2022-10-04T00:00:00.000,Schenectady,23,40687,350,819546,5.90%,COUNTY
2022-10-04T00:00:00.000,Schoharie,11,6095,87,118673,10.39%,COUNTY
2022-10-04T00:00:00.000,Schuyler,2,4097,64,96877,3.33%,COUNTY
2022-10-04T00:00:00.000,Seneca,8,7060,77,135841,9.59%,COUNTY
2022-10-04T00:00:00.000,Southern Tier,169,165351,2604,5898072,6.81%,REGION
2022-10-04T00:00:00.000,St. Lawrence,25,24864,236,611383,10.18%,COUNTY
2022-10-04T00:00:00.000,Steuben,24,23645,330,467189,7.86%,COUNTY
2022-10-04T00:00:00.000,Suffolk,408,516492,4719,8283359,6.64%,COUNTY
2022-10-04T00:00:00.000,Sullivan,27,22360,342,364977,6.16%,COUNTY
2022-10-04T00:00:00.000,Tioga,14,13058,203,228223,7.11%,COUNTY
2022-10-04T00:00:00.000,Tompkins,27,24769,267,3050958,9.81%,COUNTY
2022-10-04T00:00:00.000,Ulster,32,39359,432,849950,7.01%,COUNTY
2022-10-04T00:00:00.000,Warren,21,17318,214,329279,7.02%,COUNTY
2022-10-04T00:00:00.000,Washington,18,14600,226,280328,13.08%,COUNTY
2022-10-04T00:00:00.000,Wayne,18,20403,260,372389,7.00%,COUNTY
2022-10-04T00:00:00.000,Westchester,200,306454,2814,5731495,6.78%,COUNTY
2022-10-04T00:00:00.000,Western New York,291,365040,2604,6116062,11.65%,REGION
2022-10-04T00:00:00.000,Wyoming,17,9435,113,155118,10.00%,COUNTY
